root@fedora:~# ps -eo pid,ruid,euid,user,euser
    PID  RUID  EUID USER     EUSER
      1     0     0 root     root
      2     0     0 root     root
      3     0     0 root     root
      4     0     0 root     root
      5     0     0 root     root
      6     0     0 root     root
      7     0     0 root     root
      8     0     0 root     root
     11     0     0 root     root
     12     0     0 root     root
     14     0     0 root     root
     15     0     0 root     root
     16     0     0 root     root
     17     0     0 root     root
     18     0     0 root     root
     19     0     0 root     root
     20     0     0 root     root
     21     0     0 root     root
     22     0     0 root     root
     23     0     0 root     root
     25     0     0 root     root
     26     0     0 root     root
     27     0     0 root     root
     28     0     0 root     root
     30     0     0 root     root
     31     0     0 root     root
     32     0     0 root     root
     33     0     0 root     root
     34     0     0 root     root
     35     0     0 root     root
     36     0     0 root     root
     37     0     0 root     root
     38     0     0 root     root
     40     0     0 root     root
     41     0     0 root     root
     42     0     0 root     root
     43     0     0 root     root
     45     0     0 root     root
     46     0     0 root     root
     47     0     0 root     root
     48     0     0 root     root
     49     0     0 root     root
     50     0     0 root     root
     51     0     0 root     root
     52     0     0 root     root
     53     0     0 root     root
     54     0     0 root     root
     55     0     0 root     root
     56     0     0 root     root
     57     0     0 root     root
     58     0     0 root     root
     59     0     0 root     root
     60     0     0 root     root
     62     0     0 root     root
     63     0     0 root     root
     64     0     0 root     root
     65     0     0 root     root
     66     0     0 root     root
     67     0     0 root     root
     68     0     0 root     root
     70     0     0 root     root
     71     0     0 root     root
     72     0     0 root     root
     73     0     0 root     root
     75     0     0 root     root
     77     0     0 root     root
     78     0     0 root     root
     79     0     0 root     root
     80     0     0 root     root
     82     0     0 root     root
     83     0     0 root     root
     84     0     0 root     root
     85     0     0 root     root
     97     0     0 root     root
    170     0     0 root     root
    175     0     0 root     root
    177     0     0 root     root
    178     0     0 root     root
    187     0     0 root     root
    188     0     0 root     root
    352     0     0 root     root
    442     0     0 root     root
    455     0     0 root     root
    456     0     0 root     root
    457     0     0 root     root
    458     0     0 root     root
    459     0     0 root     root
    486     0     0 root     root
    487     0     0 root     root
    488     0     0 root     root
    489     0     0 root     root
    490     0     0 root     root
    491     0     0 root     root
    492     0     0 root     root
    493     0     0 root     root
    494     0     0 root     root
    495     0     0 root     root
    496     0     0 root     root
    497     0     0 root     root
    498     0     0 root     root
    499     0     0 root     root
    567     0     0 root     root
    700     0     0 root     root
    751     0     0 root     root
    778     0     0 root     root
    786   193   193 systemd+ systemd-resolve
    790     0     0 root     root
    791     0     0 root     root
    851   998   998 systemd+ systemd-oom
    887     0     0 root     root
    888     0     0 root     root
    910     0     0 root     root
    937    81    81 dbus     dbus
    940    81    81 dbus     dbus
    943    70    70 avahi    avahi
    946     0     0 root     root
    947   995   995 chrony   chrony
    951   114   114 polkitd  polkitd
    953   981   981 rtkit    rtkit
    954     0     0 root     root
    956     0     0 root     root
    957     0     0 root     root
    959     0     0 root     root
    962     0     0 root     root
    963     0     0 root     root
    977     0     0 root     root
    985     0     0 root     root
    987     0     0 root     root
    988    70    70 avahi    avahi
    989     0     0 root     root
    994     0     0 root     root
   1043     0     0 root     root
   1044     0     0 root     root
   1054     0     0 root     root
   1055     0     0 root     root
   1056     0     0 root     root
   1099     0     0 root     root
   1100     0     0 root     root
   1111     0     0 root     root
   1121     0     0 root     root
   1122     0     0 root     root
   1123     0     0 root     root
   1168     0     0 root     root
   1189     0     0 root     root
   1198     0     0 root     root
   1201     0     0 root     root
   1204     0     0 root     root
   1245     0     0 root     root
   1258     0     0 root     root
   1395   975   975 colord   colord
   1556   993   993 pcscd    pcscd
   1570     0     0 root     root
   2111     0     0 root     root
   2163     0     0 root     root
   2228     0     0 root     root
   2291     0     0 root     root
   2378  1000  1000 mdev     mdev
   2380  1000  1000 mdev     mdev
   2398  1000  1000 mdev     mdev
   2447  1000  1000 mdev     mdev
   2463  1000  1000 mdev     mdev
   2471  1000  1000 mdev     mdev
   2478  1000  1000 mdev     mdev
   2541  1000  1000 mdev     mdev
   2542  1000  1000 mdev     mdev
   2549  1000  1000 mdev     mdev
   2554  1000  1000 mdev     mdev
   2561  1000  1000 mdev     mdev
   2563  1000  1000 mdev     mdev
   2572  1000  1000 mdev     mdev
   2573  1000  1000 mdev     mdev
   2633  1000  1000 mdev     mdev
   2639  1000  1000 mdev     mdev
   2640  1000  1000 mdev     mdev
   2641  1000  1000 mdev     mdev
   2646  1000  1000 mdev     mdev
   2647  1000  1000 mdev     mdev
   2668  1000  1000 mdev     mdev
   2682  1000  1000 mdev     mdev
   2685  1000  1000 mdev     mdev
   2688  1000  1000 mdev     mdev
   2692  1000  1000 mdev     mdev
   2697  1000  1000 mdev     mdev
   2700  1000  1000 mdev     mdev
   2705  1000  1000 mdev     mdev
   2708  1000  1000 mdev     mdev
   2709  1000  1000 mdev     mdev
   2748  1000  1000 mdev     mdev
   2752  1000  1000 mdev     mdev
   2753  1000  1000 mdev     mdev
   2760  1000  1000 mdev     mdev
   2767  1000  1000 mdev     mdev
   2770  1000  1000 mdev     mdev
   2782  1000  1000 mdev     mdev
   2791  1000  1000 mdev     mdev
   2793  1000  1000 mdev     mdev
   2795  1000  1000 mdev     mdev
   2796  1000  1000 mdev     mdev
   2807  1000  1000 mdev     mdev
   2827  1000  1000 mdev     mdev
   2901  1000  1000 mdev     mdev
   2902  1000  1000 mdev     mdev
   2906  1000  1000 mdev     mdev
   2907  1000  1000 mdev     mdev
   2914  1000  1000 mdev     mdev
   2919  1000  1000 mdev     mdev
   2929  1000  1000 mdev     mdev
   2942  1000  1000 mdev     mdev
   2969  1000  1000 mdev     mdev
   2971  1000  1000 mdev     mdev
   2996  1000  1000 mdev     mdev
   2997  1000  1000 mdev     mdev
   2998  1000  1000 mdev     mdev
   3013  1000     0 root     root
   3023  1000  1000 mdev     mdev
   3027  1000  1000 mdev     mdev
   3040  1000  1000 mdev     mdev
   3055  1000  1000 mdev     mdev
   3070  1000  1000 mdev     mdev
   3087  1000  1000 mdev     mdev
   3110   976   976 sssd     sssd
   3154  1000  1000 mdev     mdev
   3175  1000  1000 mdev     mdev
   3449  1000  1000 mdev     mdev
   3479  1000  1000 mdev     mdev
   3505  1000  1000 mdev     mdev
   3511  1000  1000 mdev     mdev
   3528  1000  1000 mdev     mdev
   3538  1000  1000 mdev     mdev
   3563     0     0 root     root
   3597     0     0 root     root
   3984  1000  1000 mdev     mdev
   3993  1000  1000 mdev     mdev
   4031  1000  1000 mdev     mdev
   4073  1000  1000 mdev     mdev
   4687  1000  1000 mdev     mdev
   4701     0     0 root     root
   5149  1000  1000 mdev     mdev
   6387  1000  1000 mdev     mdev
   6395  1000  1000 mdev     mdev
   6418  1000  1000 mdev     mdev
   6452     0     0 root     root
   6466  1000     0 root     root
   6502     0     0 root     root
   6505     0     0 root     root
   6517     0     0 root     root
   6525     0     0 root     root
   6643     0     0 root     root
   6657     0     0 root     root
   6798     0     0 root     root
   6812     0     0 root     root
   6850     0     0 root     root
   6851     0     0 root     root
   6883     0     0 root     root
   6885     0     0 root     root
   6922     0     0 root     root
   6923     0     0 root     root
   6925     0     0 root     root
   6982     0     0 root     root
   6995     0     0 root     root
   6998     0     0 root     root
   7035     0     0 root     root
   7036     0     0 root     root
   7042     0     0 root     root
root@fedora:~# ps -eo pid,ruid,euid,user,euser
    PID  RUID  EUID USER     EUSER



# Запустил passwd под user1



root@fedora:~# ps -eo pid,ruid,euid,user,euser
    PID  RUID  EUID USER     EUSER
      1     0     0 root     root
      2     0     0 root     root
      3     0     0 root     root
      4     0     0 root     root
      5     0     0 root     root
      6     0     0 root     root
      7     0     0 root     root
      8     0     0 root     root
     11     0     0 root     root
     12     0     0 root     root
     14     0     0 root     root
     15     0     0 root     root
     16     0     0 root     root
     17     0     0 root     root
     18     0     0 root     root
     19     0     0 root     root
     20     0     0 root     root
     21     0     0 root     root
     22     0     0 root     root
     23     0     0 root     root
     25     0     0 root     root
     26     0     0 root     root
     27     0     0 root     root
     28     0     0 root     root
     30     0     0 root     root
     31     0     0 root     root
     32     0     0 root     root
     33     0     0 root     root
     35     0     0 root     root
     36     0     0 root     root
     37     0     0 root     root
     38     0     0 root     root
     40     0     0 root     root
     41     0     0 root     root
     42     0     0 root     root
     43     0     0 root     root
     45     0     0 root     root
     46     0     0 root     root
     47     0     0 root     root
     48     0     0 root     root
     49     0     0 root     root
     50     0     0 root     root
     51     0     0 root     root
     52     0     0 root     root
     53     0     0 root     root
